fipsCode	stateName	population	lackingLiteracy
1	Alabama	3,399,775	15
2	Alaska	460,997	9
4	Arizona	4,083,287	13
5	Arkansas	2,044,669	14
6	California	26,029,840	23
8	Colorado	3,385,807	10
9	Connecticut	2,668,989	9
10	Delaware	618,525	11
11	District of Columbia	425,630	19
12	Florida	13,040,318	20
13	Georgia	6,365,942	17
15	Hawaii	944,472	16
16	Idaho	1,000,313	11
17	Illinois	9,507,861	13
18	Indiana	4,633,843	8
19	Iowa	2,249,427	7
20	Kansas	2,048,059	8
21	Kentucky	3,202,516	12
22	Louisiana	3,313,847	16
23	Maine	1,036,269	7
24	Maryland	4,190,921	11
25	Massachusetts	5,096,670	10
26	Michigan	7,629,134	8
27	Minnesota	3,852,097	6
28	Mississippi	2,116,087	16
29	Missouri	4,321,763	7
30	Montana	704,494	9
31	Nebraska	1,310,211	7
32	Nevada	1,668,489	16
33	New Hampshire	995,072	6
34	New Jersey	6,610,051	17
35	New Mexico	1,394,621	16
36	New York	15,058,111	22
37	North Carolina	6,278,385	14
38	North Dakota	489,045	6
39	Ohio	8,715,916	9
40	Oklahoma	2,696,155	12
41	Oregon	2,713,872	10
42	Pennsylvania	9,561,844	13
44	Rhode Island	832,138	8
45	South Carolina	3,098,822	15
46	South Dakota	572,209	7
47	Tennessee	4,439,666	13
48	Texas	15,936,279	19
49	Utah	1,638,079	9
50	Vermont	485,416	7
51	Virginia	5,522,625	12
53	Washington State	4,641,680	10
54	West Virginia	1,418,672	13
55	Wisconsin	4,185,290	7
56	Wyoming	382,009	9
