Date,Latitude,Longitude
07/10/2019 16:30:39,28.411,-85.983
07/10/2019 16:32:40,28.407,-85.989
07/10/2019 16:34:40,28.404,-85.994
07/10/2019 16:36:39,28.400,-86.000
07/10/2019 16:38:39,28.396,-86.006
07/10/2019 16:40:40,28.393,-86.011
07/10/2019 16:42:39,28.389,-86.017
07/10/2019 16:44:39,28.385,-86.023
07/10/2019 16:46:40,28.382,-86.029
07/10/2019 16:48:40,28.378,-86.034
07/10/2019 16:50:39,28.375,-86.040
07/10/2019 16:52:39,28.371,-86.046
07/10/2019 16:54:40,28.367,-86.051
07/10/2019 16:56:40,28.364,-86.057
07/10/2019 16:58:39,28.360,-86.063
07/10/2019 17:00:39,28.357,-86.068
07/10/2019 17:02:40,28.353,-86.074
07/10/2019 17:04:40,28.349,-86.080
07/10/2019 17:06:39,28.346,-86.086
07/10/2019 17:08:39,28.342,-86.091
07/10/2019 17:10:40,28.339,-86.097
07/10/2019 17:12:39,28.335,-86.103
07/10/2019 17:14:39,28.331,-86.109
07/10/2019 17:16:40,28.328,-86.114
07/10/2019 17:18:40,28.324,-86.120
07/10/2019 17:20:39,28.321,-86.126
07/10/2019 17:22:39,28.317,-86.132
07/10/2019 17:24:40,28.314,-86.137
07/10/2019 17:26:40,28.310,-86.143
07/10/2019 17:28:39,28.307,-86.149
07/10/2019 17:30:39,28.303,-86.155
07/10/2019 17:32:40,28.300,-86.160
07/10/2019 17:34:40,28.297,-86.166
07/10/2019 17:36:39,28.293,-86.172
07/10/2019 17:38:39,28.290,-86.178
07/10/2019 17:40:40,28.286,-86.184
07/10/2019 17:42:39,28.283,-86.189
07/10/2019 17:44:39,28.280,-86.195
07/10/2019 17:46:40,28.276,-86.201
07/10/2019 17:48:40,28.273,-86.207
07/10/2019 17:50:39,28.270,-86.213
07/10/2019 17:52:39,28.266,-86.219
07/10/2019 17:54:40,28.263,-86.225
07/10/2019 17:56:40,28.260,-86.230
07/10/2019 17:58:39,28.257,-86.236
07/10/2019 18:00:39,28.254,-86.242
07/10/2019 18:02:40,28.250,-86.248
07/10/2019 18:04:40,28.247,-86.254
07/10/2019 18:06:39,28.244,-86.260
07/10/2019 18:08:39,28.241,-86.266
07/10/2019 18:10:40,28.238,-86.272
07/10/2019 18:12:39,28.235,-86.278
07/10/2019 18:14:39,28.232,-86.284
07/10/2019 18:16:40,28.229,-86.290
07/10/2019 18:18:40,28.226,-86.296
07/10/2019 18:20:39,28.223,-86.302
07/10/2019 18:22:39,28.220,-86.308
07/10/2019 18:24:40,28.217,-86.314
07/10/2019 18:26:40,28.214,-86.320
07/10/2019 18:28:39,28.211,-86.326
07/10/2019 18:30:39,28.208,-86.332
07/10/2019 18:32:40,28.206,-86.338
07/10/2019 18:34:40,28.203,-86.344
07/10/2019 18:36:39,28.200,-86.350
07/10/2019 18:38:39,28.197,-86.356
07/10/2019 18:40:40,28.195,-86.362
07/10/2019 18:42:39,28.192,-86.368
07/10/2019 18:44:39,28.189,-86.375
07/10/2019 18:46:40,28.187,-86.381
07/10/2019 18:48:40,28.184,-86.387
07/10/2019 18:50:39,28.182,-86.393
07/10/2019 18:52:39,28.179,-86.399
07/10/2019 18:54:40,28.177,-86.405
07/10/2019 18:56:40,28.174,-86.412
07/10/2019 18:58:39,28.172,-86.418
07/10/2019 19:00:39,28.170,-86.424
07/10/2019 19:02:40,28.167,-86.430
07/10/2019 19:04:40,28.165,-86.437
07/10/2019 19:06:39,28.163,-86.443
07/10/2019 19:08:39,28.161,-86.449
07/10/2019 19:10:40,28.158,-86.456
07/10/2019 19:12:39,28.156,-86.462
07/10/2019 19:14:39,28.154,-86.468
07/10/2019 19:16:40,28.152,-86.475
07/10/2019 19:18:40,28.150,-86.481
07/10/2019 19:20:39,28.148,-86.488
07/10/2019 19:22:39,28.146,-86.494
07/10/2019 19:24:40,28.144,-86.500
07/10/2019 19:26:40,28.142,-86.507
07/10/2019 19:28:39,28.140,-86.513
07/10/2019 19:30:39,28.138,-86.520
07/10/2019 19:32:40,28.136,-86.526
07/10/2019 19:34:40,28.135,-86.533
07/10/2019 19:36:39,28.133,-86.539
07/10/2019 19:38:39,28.131,-86.546
07/10/2019 19:40:40,28.129,-86.552
07/10/2019 19:42:39,28.127,-86.559
07/10/2019 19:44:39,28.126,-86.565
07/10/2019 19:46:40,28.124,-86.572
07/10/2019 19:48:40,28.122,-86.578
07/10/2019 19:50:39,28.121,-86.585
07/10/2019 19:52:39,28.119,-86.592
07/10/2019 19:54:40,28.118,-86.598
07/10/2019 19:56:40,28.116,-86.605
07/10/2019 19:58:39,28.114,-86.611
07/10/2019 20:00:39,28.113,-86.618
07/10/2019 20:02:40,28.111,-86.625
07/10/2019 20:04:40,28.110,-86.631
07/10/2019 20:06:39,28.108,-86.638
