STATE,COUNTY,STNAME,CTYNAME,CENSUS2000POP,POPESTIMATE072000,POPESTIMATE072001,POPESTIMATE072002,POPESTIMATE072003,POPESTIMATE072004,POPESTIMATE072005,POPESTIMATE072006,POPESTIMATE072007,POPESTIMATE072008,POPESTIMATE072009,POPESTIMATE072010
01,000,Alabama,Alabama,4447100,4451497,4463343,4471462,4489876,4510588,4542912,4594911,4634063,4673889,4707496,4729656
01,001,Alabama,Autauga County,43671,43952,44509,45207,45762,46948,47875,49118,49835,50338,50816,51032
01,003,Alabama,Baldwin County,140415,141384,145017,148177,151798,156640,162623,168572,172851,176268,179831,183597
01,005,Alabama,Barbour County,29038,29039,29221,29285,29501,29462,29466,29564,29736,29866,29796,29612
01,007,Alabama,Bibb County,20826,19881,20866,20906,20975,21133,21304,21211,21410,21530,21576,21392
01,009,Alabama,Blount County,51024,51141,51961,52753,53739,54471,55041,55983,56863,57797,58197,58271
01,011,Alabama,Bullock County,11714,11585,11353,11241,11287,11011,10952,10710,10940,10878,10913,10819
01,013,Alabama,Butler County,21399,21275,20997,20570,20507,20448,20310,20204,20206,20176,20013,20036
01,015,Alabama,Calhoun County,112249,110986,110671,110532,111088,111300,111760,112127,112484,113060,113646,113428
01,017,Alabama,Chambers County,36583,36552,36242,35921,35618,35373,35163,34811,34718,34439,34258,34029
01,019,Alabama,Cherokee County,23988,23963,23987,24058,24086,24213,24191,24454,24396,24332,24391,24409
01,021,Alabama,Chilton County,39593,39892,40140,40576,40913,41297,41640,41946,42471,42789,42988,43153
01,023,Alabama,Choctaw County,15922,15879,15680,15371,15201,14925,14537,14420,14214,14116,13983,13832
01,025,Alabama,Clarke County,27867,27797,27601,27248,27067,26930,26728,26715,26416,26277,26044,25776
01,027,Alabama,Clay County,14254,14239,14230,14145,14045,13913,13823,13755,13753,13793,13605,13475
01,029,Alabama,Cleburne County,14123,14146,14184,14365,14379,14262,14278,14437,14692,14765,14803,14870
01,031,Alabama,Coffee County,43615,43536,43567,43675,43945,44539,44960,45460,46586,47524,48322,48889
01,033,Alabama,Colbert County,54984,55004,54818,54581,54333,54431,54408,54467,54586,54616,54602,54635
01,035,Alabama,Conecuh County,14089,14008,13865,13675,13423,13222,13163,13296,13102,13014,12863,12767
01,037,Alabama,Coosa County,12202,11794,11699,11499,11388,11121,10933,10824,10743,10694,10529,10601
01,039,Alabama,Covington County,37631,37496,36942,36666,36513,36334,36608,36726,36823,36646,36653,36704
01,041,Alabama,Crenshaw County,13665,13672,13675,13555,13542,13579,13518,13665,13717,13659,13735,13552
01,043,Alabama,Cullman County,77483,77528,77611,77778,78124,78708,79386,79867,80591,81473,81723,81956
