RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical,F12,F13,LOCATION
3492,1391 N Milwaukee Ave,1,24,West Town,1,41.907164,-87.672159,1,41.907164,-87.672159,"(41.907164, -87.672159)"
1284,1554 E 55th St,4,41,Hyde Park,1,41.795283,-87.587632,1,41.795283,-87.587632,"(41.795283, -87.587632)"
5945,1001 N Damen Ave,1,24,West Town,1,41.899661,-87.677036,1,41.899661,-87.677036,"(41.899661, -87.677036)"
3241,1932 W Lawrence Ave,47,4,Lincoln Square,2,41.96891,-87.677444,1,41.96891,-87.677444,"(41.96891, -87.677444)"
1349,2157 W 19th St,25,31,Lower West Side,1,41.855659,-87.679748,1,41.855659,-87.679748,"(41.855659, -87.679748)"
2901,1656 W Grace St,47,6,Lake View,1,41.950736,-87.670669,1,41.950736,-87.670669,"(41.950736, -87.670669)"
3511,2107 W Monroe St,2,28,Near West Side,1,41.879836,-87.679424,1,41.879836,-87.679424,"(41.879836, -87.679424)"
3780,2025 W Roscoe St,32,5,North Center,2,41.94306,-87.67937,1,41.94306,-87.67937,"(41.94306, -87.67937)"
119,1501 W Howard St,49,1,Rogers Park,3,42.01924,-87.668418,0,42.01924,-87.668418,"(42.01924, -87.668418)"
483,1943 W North Ave,1,24,West Town,2,41.910339,-87.676622,0,41.910339,-87.676622,"(41.910339, -87.676622)"
1340,2211 W 18th Pl,25,31,Lower West Side,1,41.85655,-87.681317,1,41.85655,-87.681317,"(41.85655, -87.681317)"
2605,200 W Division St,43,8,Near North Side,1,41.90396,-87.634688,1,41.90396,-87.634688,"(41.90396, -87.634688)"
4993,1365 E 53rd St,4,41,Hyde Park,1,41.799399,-87.592391,1,41.799399,-87.592391,"(41.799399, -87.592391)"
251,1650 W Foster Ave,40,77,Edgewater,3,41.976289,-87.670864,0,41.976289,-87.670864,"(41.976289, -87.670864)"
6311,201 S Michigan Ave,42,32,Loop,3,41.879487,-87.624195,1,41.879487,-87.624195,"(41.879487, -87.624195)"
4118,1147 N Western Ave,1,24,West Town,3,41.902305,-87.686813,1,41.902305,-87.686813,"(41.902305, -87.686813)"
2894,2 E Garfield Blvd,3,40,Washington Park,1,41.794757,-87.625519,1,41.794757,-87.625519,"(41.794757, -87.625519)"
7419,10248 S Ewing Ave,10,52,East Side,1,41.709081,-87.535447,0,41.709081,-87.535447,"(41.709081, -87.535447)"
4473,1800 W Lunt Ave,49,1,Rogers Park,2,42.009089,-87.676002,1,42.009089,-87.676002,"(42.009089, -87.676002)"
1516,1800 E 79th St,8,43,South Shore,1,41.75163,-87.580739,1,41.75163,-87.580739,"(41.75163, -87.580739)"
899,1465 S Michigan Ave,2,33,Near South Side,1,41.862619,-87.623868,0,41.862619,-87.623868,"(41.862619, -87.623868)"
3438,101 S Michigan Ave,42,32,Loop,2,41.880788,-87.624191,1,41.880788,-87.624191,"(41.880788, -87.624191)"
2449,2009 N Clybourn Ave,43,7,Lincoln Park,1,41.917976,-87.659107,1,41.917976,-87.659107,"(41.917976, -87.659107)"
876,213 N Morgan St,27,28,Near West Side,1,41.885806,-87.651946,0,41.885806,-87.651946,"(41.885806, -87.651946)"
4938,2245 N McVicker Ave,37,19,Belmont Cragin,1,41.921251,-87.776662,1,41.921251,-87.776662,"(41.921251, -87.776662)"
4933,1234 N Monticello Ave,26,23,Humboldt Park,3,41.903415,-87.717946,1,41.903415,-87.717946,"(41.903415, -87.717946)"
3324,210 S Loomis St,2,28,Near West Side,2,41.878755,-87.66211,1,41.878755,-87.66211,"(41.878755, -87.66211)"
5261,1735 W Harrison St,2,28,Near West Side,1,41.874058,-87.670545,1,41.874058,-87.670545,"(41.874058, -87.670545)"
4040,1134 W Washington Blvd,27,28,Near West Side,3,41.883124,-87.655743,1,41.883124,-87.655743,"(41.883124, -87.655743)"
6518,2222 W North Ave,1,24,West Town,1,41.910493,-87.683225,0,41.910493,-87.683225,"(41.910493, -87.683225)"
4150,1830 W Wilson Ave,47,4,Lincoln Square,1,41.965294,-87.675129,1,41.965294,-87.675129,"(41.965294, -87.675129)"
