Case #,Date,IUCR,Description,Location Description,Beat,Ward,Latitude,Longitude
HT655009,12/31/2011 23:10,1811,CANNABIS 30GMS OR LESS,STREET,312,20,41.77920248,-87.60731269
HT654959,12/31/2011 22:50,1812,CANNABIS MORE THAN 30GMS,VEHICLE NON-COMMERCIAL,1522,29,41.87894756,-87.75778799
HT654969,12/31/2011 22:41,2024,HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,1115,28,41.87985338,-87.72690132
HT654966,12/31/2011 22:30,1811,CANNABIS 30GMS OR LESS,STREET,621,17,41.7513502,-87.63423629
HT654968,12/31/2011 22:19,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2311,46,41.96656015,-87.65949928
HT654970,12/31/2011 22:19,2025,HALLUCINOGENS,PARKING LOT/GARAGE(NON.RESID.),2532,37,41.90223525,-87.7655097
HT654946,12/31/2011 22:00,2024,HEROIN(WHITE),SIDEWALK,1115,28,41.88058814,-87.72780873
HT654944,12/31/2011 22:00,2025,HALLUCINOGENS,OTHER,132,2,41.87580273,-87.62567013
HT654912,12/31/2011 21:40,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2222,21,41.72140528,-87.65640367
HT654917,12/31/2011 21:39,1811,CANNABIS 30GMS OR LESS,STREET,1731,31,41.93965854,-87.72951432
HT654935,12/31/2011 21:19,2020,AMPHETAMINES,STREET,811,23,41.79434474,-87.77059226
HT654893,12/31/2011 20:35,2024,HEROIN(WHITE),ALLEY,614,18,41.74350623,-87.67069684
HT654840,12/31/2011 19:49,1811,CANNABIS 30GMS OR LESS,SIDEWALK,513,34,41.69261552,-87.62961122
HT654826,12/31/2011 19:19,1811,CANNABIS 30GMS OR LESS,STREET,1524,37,41.90177391,-87.75937564
HT654781,12/31/2011 18:45,2024,HEROIN(WHITE),SIDEWALK,1014,24,41.85166408,-87.72424964
HT654785,12/31/2011 18:24,1811,CANNABIS 30GMS OR LESS,STREET,2413,50,41.99681295,-87.68878348
HT654775,12/31/2011 18:14,2027,CRACK,OTHER,1523,28,41.88414116,-87.7553507
HT654777,12/31/2011 18:11,1811,CANNABIS 30GMS OR LESS,STREET,814,23,41.80194675,-87.7443792
HT654772,12/31/2011 18:10,1812,CANNABIS MORE THAN 30GMS,ALLEY,632,8,41.73717959,-87.60134499
HT654784,12/31/2011 18:05,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2313,46,41.96530035,-87.6566629
HT654737,12/31/2011 17:35,1811,CANNABIS 30GMS OR LESS,STREET,1522,29,41.8719506,-87.76346836
HT654723,12/31/2011 17:25,1811,CANNABIS 30GMS OR LESS,SIDEWALK,711,16,41.7859565,-87.64389258
HT654576,12/31/2011 16:45,1811,CANNABIS 30GMS OR LESS,STREET,931,16,41.80230869,-87.66981994
HT654489,12/31/2011 14:00,2024,HEROIN(WHITE),SIDEWALK,1523,28,41.88649199,-87.75788554
HT654510,12/31/2011 13:07,2027,CRACK,RESIDENCE,624,6,41.75381912,-87.60666061
HT654351,12/31/2011 12:20,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2532,37,41.90237404,-87.75810662
HT654428,12/31/2011 12:09,2028,SYNTHETIC DRUGS,STREET,1532,28,41.89193204,-87.7553429
HT654318,12/31/2011 11:20,1811,CANNABIS 30GMS OR LESS,APARTMENT,1522,29,41.87644777,-87.76278216
HT654350,12/31/2011 10:45,2027,CRACK,APARTMENT,1112,27,41.90136534,-87.717588
HT654157,12/31/2011 8:46,2024,HEROIN(WHITE),STREET,2535,26,41.90897701,-87.71691971
HT654333,12/31/2011 8:15,1811,CANNABIS 30GMS OR LESS,RESIDENCE,2532,37,41.90640309,-87.75602058
HT654394,12/31/2011 8:00,2093,FOUND SUSPECT NARCOTICS,RESIDENCE,1523,28,41.88678099,-87.7635606
HT654080,12/31/2011 5:10,2093,FOUND SUSPECT NARCOTICS,APARTMENT,212,4,41.82964149,-87.61460245
HT654071,12/31/2011 4:52,1811,CANNABIS 30GMS OR LESS,STREET,2433,49,41.99711065,-87.66032488
HT654047,12/31/2011 3:50,1811,CANNABIS 30GMS OR LESS,STREET,812,13,41.77826321,-87.76281004
HT653996,12/31/2011 2:52,1811,CANNABIS 30GMS OR LESS,STREET,934,3,41.79511645,-87.64289961
HT653999,12/31/2011 2:21,2027,CRACK,OTHER,623,17,41.75066609,-87.63410812
HT653983,12/31/2011 1:57,2022,COCAINE,VEHICLE NON-COMMERCIAL,2515,29,41.91860772,-87.76558136
HT653928,12/31/2011 0:45,2092,SOLICIT NARCOTICS ON PUBLICWAY,STREET,1532,28,41.88453155,-87.7538562
HT653920,12/31/2011 0:44,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2531,29,41.90745431,-87.76596675
HT654013,12/31/2011 0:43,2012,MANU/DELIVER:COCAINE,STREET,1723,39,41.95952402,-87.72641123
HT653927,12/31/2011 0:31,1811,CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,432,10,41.70357665,-87.53634822
HT653907,12/31/2011 0:30,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2531,29,41.90939126,-87.7731355
HT653916,12/31/2011 0:23,1811,CANNABIS 30GMS OR LESS,STREET,1524,37,41.89587847,-87.76528319
HT653901,12/31/2011 0:10,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1533,28,41.87937797,-87.7463163
HT653899,12/30/2011 23:50,1812,CANNABIS MORE THAN 30GMS,RESIDENCE,932,16,41.79927685,-87.66944779
HT653877,12/30/2011 23:31,2025,HALLUCINOGENS,STREET,2012,40,41.98289176,-87.68929171
HT653855,12/30/2011 23:30,2027,CRACK,SIDEWALK,1523,28,41.8824828,-87.76176267
HT653975,12/30/2011 23:28,2027,CRACK,APARTMENT,1131,24,41.87240188,-87.74413308
HT653843,12/30/2011 23:18,1811,CANNABIS 30GMS OR LESS,STREET,312,20,41.77691638,-87.60816336
HT653820,12/30/2011 23:13,2027,CRACK,STREET,431,10,41.70838039,-87.56103865
HT653818,12/30/2011 22:45,2026,PCP,SIDEWALK,1522,29,41.87579177,-87.76055183
HT653842,12/30/2011 22:40,1811,CANNABIS 30GMS OR LESS,SIDEWALK,1522,28,41.88038064,-87.76285366
HT653878,12/30/2011 22:37,2012,MANU/DELIVER:COCAINE,RESIDENCE,432,10,41.71239409,-87.53634186
HT653801,12/30/2011 22:13,1811,CANNABIS 30GMS OR LESS,STREET,2531,29,41.90452588,-87.77316701
HT653778,12/30/2011 22:04,1811,CANNABIS 30GMS OR LESS,STREET,1512,29,41.88437945,-87.76515737
HT653759,12/30/2011 22:00,1811,CANNABIS 30GMS OR LESS,SIDEWALK,2533,37,41.9082473,-87.75331481
HT653745,12/30/2011 21:40,2022,COCAINE,STREET,911,14,41.80086469,-87.69048322
HT653731,12/30/2011 21:40,2027,CRACK,STREET,2532,37,41.90746739,-87.7647286
