DISTRICT,DISTRICT NAME,ADDRESS,CITY,STATE,ZIP,PHONE,FAX,TTY,LATITUDE,LONGITUDE
1,Central,1718 S State St,Chicago,IL,60616,312-745-4290,312-745-3694,312-745-3693,41.85837259,-87.62735617
6,Gresham,7808 S Halsted St,Chicago,IL,60620,312-745-3617,312-745-3649,312-745-3639,41.75213684,-87.64422891
11,Harrison,3151 W Harrison St,Chicago,IL,60612,312-746-8386,312-746-4281,312-746-5151,41.87358229,-87.70548813
16,Jefferson Park,5151 N Milwaukee Ave,Chicago,IL,60630,312-742-4480,312-742-4421,312-742-4423,41.97409445,-87.76614884
Headquarters,Headquarters,3510 S Michigan Ave,Chicago,IL,60653,,,,41.83070169,-87.62339535
24,Rogers Park,6464 N Clark St,Chicago,IL,60626,312-744-5907,312-744-6928,312-744-7603,41.99976348,-87.67132429
2,Wentworth,5101 S Wentworth Ave,Chicago,IL,60609,312-747-8366,312-747-5396,312-747-6656,41.80181109,-87.63056018
7,Englewood,1438 W 63rd St,Chicago,IL,60636,312-747-8223,312-747-6558,312-747-6652,41.77963154,-87.66088702
25,Grand Central,5555 W Grand Ave,Chicago,IL,60639,312-746-8605,312-746-4353,312-746-8383,41.91860889,-87.76557448
10,Ogden,3315 W Ogden Ave,Chicago,IL,60623,312-747-7511,312-747-7429,312-747-7471,41.85668453,-87.70838196
15,Austin,5701 W Madison St,Chicago,IL,60644,312-743-1440,312-743-1366,312-743-1485,41.88008346,-87.76819989
3,Grand Crossing,7040 S Cottage Grove Ave,Chicago,IL,60637,312-747-8201,312-747-5479,312-747-9168,41.76643089,-87.60574786
14,Shakespeare,2150 N California Ave,Chicago,IL,60647,312-744-8250,312-744-2422,312-744-8260,41.92110332,-87.69745182
8,Chicago Lawn,3420 W 63rd St,Chicago,IL,60629,312-747-8730,312-747-8545,312-747-8116,41.77898719,-87.70886382
4,South Chicago,2255 E 103rd St,Chicago,IL,60617,312-747-7581,312-747-5276,312-747-9169,41.70793329,-87.56834912
20,Lincoln,5400 N Lincoln Ave,Chicago,IL,60625,312-742-8714,312-742-8803,312-742-8841,41.97954951,-87.69284451
18,Near North,1160 N Larrabee St,Chicago,IL,60610,312-742-5870,312-742-5771,312-742-5773,41.90324165,-87.64335214
12,Near West,1412 S Blue Island Ave,Chicago,IL,60608,312-746-8396,312-746-4248,312-746-9868,41.86297662,-87.65697251
9,Deering,3120 S Halsted St,Chicago,IL,60608,312-747-8227,312-747-5329,312-747-9172,41.83739443,-87.64640771
22,Morgan Park,1900 W Monterey Ave,Chicago,IL,60643,312-745-0710,312-745-0814,312-745-0569,41.69143478,-87.66852039
5,Calumet,727 E 111th St,Chicago,IL,60628,312-747-8210,312-747-5935,312-747-9170,41.69272336,-87.60450587
17,Albany Park,4650 N Pulaski Rd,Chicago,IL,60630,312-742-4410,312-742-5411,312-742-5451,41.96605342,-87.72811456
19,Town Hall,850 W Addison St,Chicago,IL,60613,312-744-8320,312-744-4481,312-744-8011,41.94740046,-87.65151202
