STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
32,001,950100,1,1027,+39.472990,-118.649584
32,001,950100,2,1536,+39.401853,-118.746037
32,001,950301,1,815,+39.471176,-118.773756
32,001,950301,2,1380,+39.481754,-118.768379
32,001,950301,3,1689,+39.467685,-118.769588
32,001,950302,1,1576,+39.468094,-118.790079
32,001,950302,2,758,+39.471987,-118.787020
32,001,950302,3,1476,+39.483180,-118.782365
32,001,950302,4,661,+39.469108,-118.779520
32,001,950302,5,797,+39.476921,-118.788875
32,001,950400,1,711,+39.418799,-118.730744
32,001,950500,1,761,+39.507251,-118.638053
32,001,950500,2,630,+39.519602,-118.744524
32,001,950600,1,1926,+39.515105,-118.883510
32,001,950600,2,1865,+39.501016,-118.837228
32,001,950600,3,1568,+39.493362,-118.791485
32,001,950700,1,1534,+39.415933,-118.836248
32,001,950700,2,1592,+39.470280,-118.819125
32,001,950700,3,869,+39.500718,-118.965190
32,001,950700,4,1706,+39.473436,-118.847357
32,003,000101,1,1171,+36.178004,-115.186602
32,003,000101,2,1887,+36.178418,-115.198759
32,003,000101,3,698,+36.184010,-115.194267
32,003,000101,4,2112,+36.184212,-115.185939
32,003,000101,5,983,+36.186355,-115.181471
32,003,000103,1,1017,+36.164868,-115.237481
32,003,000103,2,1307,+36.164711,-115.228763
32,003,000103,3,2182,+36.161097,-115.238553
32,003,000103,4,1139,+36.161376,-115.228306
32,003,000105,1,945,+36.168157,-115.199813
32,003,000105,2,1951,+36.165001,-115.199825
32,003,000105,3,1102,+36.161304,-115.201351
32,003,000106,1,1066,+36.167974,-115.210644
32,003,000106,2,2209,+36.170384,-115.219711
32,003,000106,3,988,+36.171799,-115.210959
32,003,000107,1,1456,+36.164641,-115.216473
32,003,000107,2,2400,+36.161428,-115.214187
32,003,000108,1,1473,+36.177394,-115.208114
32,003,000108,2,2208,+36.184585,-115.211258
32,003,000109,1,1172,+36.175674,-115.217192
32,003,000109,2,855,+36.178282,-115.212141
32,003,000109,3,1540,+36.178758,-115.219256
32,003,000201,1,2344,+36.184445,-115.173978
32,003,000201,2,1079,+36.179210,-115.173898
32,003,000201,3,1110,+36.181094,-115.165782
32,003,000203,1,1242,+36.173186,-115.168205
32,003,000203,2,769,+36.168772,-115.168138
32,003,000203,3,886,+36.162867,-115.162622
32,003,000203,4,685,+36.169867,-115.163125
32,003,000204,1,577,+36.156684,-115.168222
32,003,000204,2,580,+36.149741,-115.169691
32,003,000301,1,1687,+36.192236,-115.147397
32,003,000301,2,552,+36.178068,-115.147972
32,003,000301,3,864,+36.184715,-115.148246
32,003,000302,1,939,+36.190905,-115.167651
32,003,000302,2,1388,+36.188831,-115.154866
32,003,000302,3,559,+36.183178,-115.156170
32,003,000302,4,885,+36.192336,-115.156377
32,003,000302,5,902,+36.180147,-115.155951
32,003,000401,1,710,+36.178804,-115.138580
32,003,000401,2,2155,+36.184794,-115.137981
