origin,dest,count
7018,6120,6
6063,6111,4
6153,6315,1
6913,6251,9
6036,7049,5
6042,6424,2
6129,6014,4
6411,6066,5
6175,6143,19
6338,6314,1
6376,6059,1
7056,6727,1
6703,6307,2
6099,6147,1
6906,6728,1
7133,7131,10
6267,6222,1
6167,6359,6
6908,7044,1
6901,6501,1
6160,6170,1
6371,6270,1
6323,7101,1
6097,6086,16
6906,6262,105
6036,7113,1
6711,6047,5
6225,6912,8
6038,6335,1
6064,6262,1
6108,6131,2
6175,6019,6
6737,6211,1
6253,6334,21
7065,6152,2
6201,7045,6
6416,6315,9
6338,6704,2
6005,6091,3
6302,7024,1
6350,6355,1
6260,6151,3
6090,7012,2
6906,6338,2
7140,7082,12
6214,6391,2
6901,6111,8
6188,6266,1
6169,7025,7
6246,6307,3
6214,7076,2
6057,6007,2
6167,6203,1
6186,7040,8
6714,7015,3
6033,6141,5
6080,6073,1
6191,6208,5
7014,6027,2
6222,6241,4
7124,6223,1
6741,6407,10
6196,6021,7
6368,6344,3
6258,6140,4
6047,7066,21
6204,6017,1
6049,6240,1
6179,6044,22
6387,6321,3
7131,6210,1
7001,6014,3
6253,4001,1
6165,7078,2
6406,6093,1
6701,7026,1
6753,6357,16
6095,6040,2
6321,6220,2
6038,4000,1
6237,6738,2
6052,7055,4
6130,6120,83
6183,6012,13
6216,6747,2
6158,6161,8
6089,7126,2
7013,6354,11
6340,6189,7
6315,6336,1
4002,6154,1
6203,7083,2
7067,6194,8
6104,6036,46
6015,6707,1
6414,7034,9
6125,6503,1
6203,6364,1
6012,6064,9
6387,6731,1
6904,7019,20
6111,6005,8
6021,6201,10
6009,6196,1
6183,6148,15
6137,6253,1
6184,6361,1
6211,6434,1
6262,6197,3
7020,6131,2
7146,7079,9
6022,6015,8
6112,6211,6
6233,6315,3
6280,6227,9
6261,7064,1
6215,6409,10
6261,6383,2
6926,6195,2
6004,6243,1
6249,6014,3
6187,6175,15
7113,6121,1
6356,7049,1
6058,6314,1
6215,6143,2
6070,6083,27
6750,6019,3
6107,6222,2
6084,6114,6
6037,6026,21
6255,7028,19
6207,6359,4
6915,7017,1
7036,6316,2
6200,6170,17
6330,6374,1
6079,6231,4
6234,6066,3
6149,6035,8
6358,6335,3
6750,6143,12
6268,6131,2
6025,6366,3
6212,6230,8
6391,6106,2
7023,6735,1
6180,6206,1
6738,6058,1
6100,6151,1
6311,6251,5
6719,6027,6
6044,6195,1
6207,6749,1
6174,6391,1
6209,7025,2
6174,7076,1
6195,6235,4
6126,6307,1
6207,6203,15
6419,6416,4
6155,7009,2
6700,6503,1
6217,6185,1
6428,7142,6
6008,6344,1
6138,6140,21
6306,7019,1
7113,6901,5
6164,6017,4
6168,6930,1
6219,6044,11
6434,6434,16
6199,6268,14
6412,6328,1
6190,6180,4
6046,6009,1
6503,6153,1
6734,6005,1
6157,6738,2
7015,7048,11
6712,6719,11
6503,6419,2
6917,6336,1
6415,6101,2
6176,6747,1
6700,6113,2
6027,7047,31
6145,6132,1
7026,6090,1
7144,6748,5
6163,7083,1
6421,6017,1
6264,6036,11
6029,6261,1
7028,6151,21
6053,6160,2
6375,6707,2
6245,6503,4
6182,7127,2
6372,6064,2
7078,6921,1
6003,6910,1
7015,7112,3
6733,7091,2
6048,6092,1
7080,6191,3
6088,6403,10
6086,6088,7
6060,6305,1
6081,7146,1
6032,7074,1
6257,6253,2
6171,6434,1
6199,6332,19
6712,6309,8
6412,6272,1
6032,6393,1
7047,6729,1
6223,6093,1
6503,6009,1
6124,7026,7
6903,6114,8
7035,10002,1
7029,6750,1
7072,6164,4
6009,6155,4
6216,7073,3
6720,6227,2
6184,7045,10
6165,6206,3
6328,6051,3
6129,5005,1
6262,6154,7
6216,6394,3
7046,6128,1
6170,6235,6
6930,7096,2
7067,6157,6
6251,6331,2
6040,6031,4
6203,7040,1
6156,6063,2
6227,6917,2
6087,7024,2
6151,6700,2
6089,6202,2
6277,6167,3
6191,6391,2
6047,6218,32
7069,6096,6
6052,6371,1
6132,6905,2
6406,6050,1
6904,6267,5
6095,6083,13
6729,6095,2
6753,6394,2
6925,6752,2
6116,7052,1
6701,6302,1
6265,6227,5
7053,6041,3
6118,6274,1
6230,6098,2
6420,6206,1
6156,6139,6
6033,6182,1
6103,6386,3
6366,6246,22
7081,7067,18
6015,7033,2
6177,6146,6
6502,6218,2
6258,6183,2
6368,6387,25
6270,6214,1
7046,6072,1
6061,6114,6
6746,7040,2
6151,6310,3
6179,6087,1
6167,7127,1
6248,6205,31
6005,6052,12
6260,6192,3
6114,6229,5
7022,6134,1
6059,6105,1
7079,6700,1
7140,7041,4
6397,6064,1
7003,6401,60
6169,6301,1
6023,6204,2
6927,7063,1
7037,6107,4
6194,6434,50
6916,6907,1
6208,6089,3
6206,6402,1
6193,6357,2
6361,6915,7
7043,7020,21
4000,6151,1
6227,6137,4
6120,6265,4
6418,6217,2
6017,6248,8
6206,6148,5
7065,6191,10
6743,6012,2
6064,7146,5
6063,6088,5
7025,6247,1
6213,6021,16
6908,6360,3
6099,6184,3
7149,6114,2
6181,6017,4
6305,6073,6
6148,6224,28
6078,6020,6
7003,6011,4
6235,6277,4
6404,6096,7
6214,6208,15
7096,7092,4
6703,7023,1
6359,6124,3
6114,6373,2
6156,6919,2
7030,6274,3
6206,6012,28
6193,6747,4
6364,6280,1
6175,6180,5
6743,6402,3
6310,6040,2
6014,6106,13
6176,7073,13
6386,6130,1
6178,6255,4
6205,6206,21
7080,6152,2
6415,6098,8
6032,6350,1
6917,7148,1
7040,6089,8
6152,6924,1
6086,6501,4
6190,6019,3
6176,6394,4
6027,7084,1
7026,6053,4
6393,6103,6
6182,6203,2
6163,7040,10
6327,6752,2
6726,7061,1
7028,6192,65
6136,6118,3
6236,6063,1
6075,7012,6
6094,6251,1
6027,6363,3
7066,7062,16
6202,6175,8
6381,6243,4
7034,6313,11
6190,6143,11
6332,6371,1
6335,6412,2
6252,6905,1
6503,6190,1
6919,6234,4
7012,6145,2
6105,6227,1
6035,6023,9
6086,6111,2
6039,6904,1
6332,7096,1
7080,6008,2
6335,6158,2
6236,6139,3
6278,6274,1
6136,6042,8
6185,6170,1
6217,6146,7
6131,6721,1
6072,6086,8
7137,6372,1
6231,6310,7
6018,6001,7
6736,6410,3
6065,6129,3
6221,6096,3
6274,6229,1
7064,6753,1
6044,6156,15
6209,6301,1
5007,7027,1
6362,6731,4
7045,6266,2
7082,6194,10
6915,6269,6
7019,6331,9
6717,6125,2
6051,6165,6
6152,6104,2
6750,6180,3
6907,6073,5
6212,7114,2
6168,6089,8
7076,6003,1
6112,6388,1
6147,6137,15
6377,6248,1
6166,6148,1
6266,6033,2
6098,6356,2
7038,6214,13
6173,6021,4
6018,6411,3
6915,6333,3
6209,6711,6
6362,6321,2
7036,7032,9
7064,6343,1
6065,6073,5
6228,6224,1
6314,6907,1
6155,6277,3
6174,6208,44
4001,7064,18
6274,6373,2
6058,7030,2
6247,6116,1
6236,6919,1
6266,6169,1
6166,6012,10
7076,6413,8
6723,6033,6
6233,7031,6
6261,6340,1
6093,6902,1
7026,6929,1
6926,6156,34
6215,6180,9
6907,6129,5
6070,6040,2
6358,6258,3
6215,6174,7
7023,6312,1
6168,6127,4
7113,6116,1
6187,6142,18
6149,6158,3
6424,6395,1
6398,6383,2
6372,6929,1
6233,6322,1
6147,6099,12
6022,6022,6
6091,6110,1
6187,6408,1
7141,6180,1
6344,6183,2
6221,6138,10
6274,6387,1
6121,6043,5
6330,6343,6
6362,7032,1
6200,6147,3
6065,6087,10
7031,6108,9
7040,6907,3
6037,6011,3
6107,6215,30
6910,6908,3
6316,6115,1
6226,6311,1
6195,6358,1
6003,6107,7
6724,7053,6
7148,6332,4
6391,6131,2
6161,7072,1
6212,6207,3
6022,6178,11
6750,6174,1
6145,6925,1
6234,6051,5
6187,6018,11
6051,6191,2
7050,7146,1
6161,6395,1
6079,6206,6
6249,6179,1
7031,6052,1
6195,6202,26
6174,7041,8
6209,7012,4
6121,6119,4
6731,6387,1
6221,6062,4
6150,6916,3
6037,6401,1
7019,7022,13
6083,6250,4
10002,6087,1
6195,6748,9
6219,6073,16
6168,6907,8
6164,6020,13
6329,6277,3
6119,6108,5
6138,6177,1
6008,6373,3
7009,6043,5
6072,6072,6
6264,6411,2
6924,6164,1
6163,6209,3
6075,6711,1
6231,7003,9
6250,6117,3
6221,6918,1
6171,6013,15
6734,6032,1
7040,6127,1
6224,7030,2
6084,6903,1
6346,6145,2
6123,6085,5
7031,6928,1
6202,6181,7
6157,6245,2
6434,6403,1
6372,6053,2
7009,6119,7
6117,6193,2
6409,7050,2
6053,6157,5
7028,6166,6
6119,6052,20
6421,6020,5
6219,6129,1
7095,6195,2
6008,6229,13
7073,6218,1
6173,5007,1
6145,6105,5
6027,7070,1
6700,6124,1
6360,6703,4
6124,7011,3
6747,6181,5
6910,6072,5
6734,6422,2
6199,6305,2
6150,6136,14
6360,6249,1
6734,6168,10
6434,6013,4
6314,6089,5
6749,6040,12
6038,6258,3
7043,6269,1
6338,6323,5
6175,6174,12
6253,6713,1
7062,6216,1
6019,6227,4
6129,6023,5
6229,6158,8
6913,6266,8
6082,6082,5
7030,6280,5
6012,6929,1
6063,6126,3
6272,6226,2
6227,6099,2
6042,6159,21
6906,6255,20
6141,6138,11
6114,6387,5
6404,6062,1
6371,6247,1
6241,6043,26
7140,6742,1
7079,7003,1
6160,6147,3
6305,6087,1
6281,6198,1
6099,6170,2
6908,6394,1
6146,6311,10
7128,6249,5
6363,6107,2
6201,7072,2
6338,6733,6
7039,6032,9
6253,6303,2
7065,6165,4
6042,6003,2
7035,6915,1
6737,6226,1
6338,6279,2
6108,6106,7
6275,6155,1
6711,6070,2
6154,6051,4
6331,6191,6
6129,6179,1
6214,7041,5
6169,7012,1
6376,6134,4
6901,6126,6
6146,6701,2
6703,6720,3
6927,6370,1
7102,6042,1
6179,6073,3
7032,6246,1
6204,6020,8
7046,6086,12
6258,6177,2
6368,6373,37
6087,6727,25
6918,6148,1
6222,6276,4
7124,6214,3
6413,6097,1
6203,6209,13
6130,6117,1
7110,6712,8
6118,6280,2
6211,6013,23
6729,6061,5
6321,6217,1
6184,6746,1
6753,6360,3
6701,7011,2
6026,6145,2
6243,6085,1
6052,6385,13
6754,6403,1
6307,6041,1
6170,7126,1
7069,6062,5
6012,6053,13
6930,6385,5
6277,6193,16
6918,6012,1
6746,6209,1
6196,6406,2
6104,6001,24
6108,6926,1
6179,6129,5
6225,6105,14
7013,6363,4
6158,6156,11
6315,6301,4
7041,7012,1
6706,6085,6
6007,6060,1
6265,6389,7
6230,6136,54
7072,6190,1
6092,6304,2
6111,6032,4
7103,6719,2
6178,6728,1
6041,7069,3
6259,7081,1
6919,6359,1
6202,6018,30
6032,7080,4
7080,6165,4
6205,6231,5
6199,7021,10
6178,6262,15
7033,6057,4
6733,7065,5
6749,6083,10
6027,6354,4
6752,6171,1
6231,6737,2
6117,6150,2
6094,6266,1
6905,6082,1
6702,6901,1
6053,6194,16
6301,6079,2
6182,6234,3
6131,6306,1
6393,6134,2
7026,6064,1
6278,6243,12
6035,6014,2
6314,6110,1
7122,6376,1
6224,6314,2
6276,7065,9
7122,7091,10
6341,7048,2
6190,6174,5
6381,6274,3
6202,6142,11
6747,6018,1
6231,6327,1
6020,6027,11
6093,6115,1
7073,7066,1
6217,6171,3
6923,7069,1
